date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:29	2720/2720	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Dec%202015%2022:21:54%20GMT	http://muneshwerstravel.com/sites/all/themes/impelic/img/discover.png	/home/arthur/websites/MT/muneshwerstravel.com/sites/all/themes/impelic/img/discover.png	(from http://muneshwerstravel.com/)
14:38:31	23409/23409	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:30%20GMT	http://muneshwerstravel.com/flights/united-states	/home/arthur/websites/MT/muneshwerstravel.com/flights/united-states.html	(from http://muneshwerstravel.com/)
14:38:32	23379/23379	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:31%20GMT	http://muneshwerstravel.com/flights/trinidad	/home/arthur/websites/MT/muneshwerstravel.com/flights/trinidad.html	(from http://muneshwerstravel.com/)
14:38:34	23379/23379	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:32%20GMT	http://muneshwerstravel.com/flights/suriname	/home/arthur/websites/MT/muneshwerstravel.com/flights/suriname.html	(from http://muneshwerstravel.com/)
14:38:35	23367/23367	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:33%20GMT	http://muneshwerstravel.com/flights/panama	/home/arthur/websites/MT/muneshwerstravel.com/flights/panama.html	(from http://muneshwerstravel.com/)
14:38:36	23373/23373	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:35%20GMT	http://muneshwerstravel.com/flights/jamaica	/home/arthur/websites/MT/muneshwerstravel.com/flights/jamaica.html	(from http://muneshwerstravel.com/)
14:38:37	23373/23373	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:36%20GMT	http://muneshwerstravel.com/flights/curacao	/home/arthur/websites/MT/muneshwerstravel.com/flights/curacao.html	(from http://muneshwerstravel.com/)
14:38:39	23379/23379	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:37%20GMT	http://muneshwerstravel.com/flights/barbados	/home/arthur/websites/MT/muneshwerstravel.com/flights/barbados.html	(from http://muneshwerstravel.com/)
14:38:41	23361/23361	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:39%20GMT	http://muneshwerstravel.com/flights/aruba	/home/arthur/websites/MT/muneshwerstravel.com/flights/aruba.html	(from http://muneshwerstravel.com/)
14:38:43	23373/23373	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:41%20GMT	http://muneshwerstravel.com/flights/antigua	/home/arthur/websites/MT/muneshwerstravel.com/flights/antigua.html	(from http://muneshwerstravel.com/)
14:38:43	21450/21450	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:42%20GMT	http://muneshwerstravel.com/content/international-hotels	/home/arthur/websites/MT/muneshwerstravel.com/content/international-hotels.html	(from http://muneshwerstravel.com/)
14:38:45	21456/21456	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:44%20GMT	http://muneshwerstravel.com/content/international-flights	/home/arthur/websites/MT/muneshwerstravel.com/content/international-flights.html	(from http://muneshwerstravel.com/)
14:38:46	21420/21420	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:45%20GMT	http://muneshwerstravel.com/content/domestic-hotels	/home/arthur/websites/MT/muneshwerstravel.com/content/domestic-hotels.html	(from http://muneshwerstravel.com/)
14:38:47	21426/21426	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:46%20GMT	http://muneshwerstravel.com/content/domestic-flights	/home/arthur/websites/MT/muneshwerstravel.com/content/domestic-flights.html	(from http://muneshwerstravel.com/)
14:38:48	21396/21396	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:47%20GMT	http://muneshwerstravel.com/content/car-rentals	/home/arthur/websites/MT/muneshwerstravel.com/content/car-rentals.html	(from http://muneshwerstravel.com/)
14:38:50	25123/25123	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:48%20GMT	http://muneshwerstravel.com/contact	/home/arthur/websites/MT/muneshwerstravel.com/contact-2.html	(from http://muneshwerstravel.com/)
14:38:51	22153/22153	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:50%20GMT	http://muneshwerstravel.com/about-us	/home/arthur/websites/MT/muneshwerstravel.com/about-us.html	(from http://muneshwerstravel.com/)
14:38:52	1856/1856	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202020%2018:36:35%20GMT	http://cdn.iflychat.com/js/iflychat-v2.min.js?app_id=6e3d718c-824d-4749-bb33-ff71076c5c9e	/home/arthur/websites/MT/cdn.iflychat.com/js/iflychat-v2.min29b7.js	(from http://muneshwerstravel.com/)
14:38:52	9845/9845	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2007%20Feb%202018%2020:27:31%20GMT	http://muneshwerstravel.com/sites/default/files/js/js_FbpwIZNwgzwEuuL4Q2HOM07BOSCY5LxL_gwSK4ohQBM.js	/home/arthur/websites/MT/muneshwerstravel.com/sites/default/files/js/js_FbpwIZNwgzwEuuL4Q2HOM07BOSCY5LxL_gwSK4ohQBM.js	(from http://muneshwerstravel.com/)
14:38:54	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2030%20Nov%202020%2018:38:53%20GMT	http://fonts.googleapis.com/robots.txt		(from http://muneshwerstravel.com/)
14:38:55	28468/28468	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:54%20GMT	http://muneshwerstravel.com/node/18	/home/arthur/websites/MT/muneshwerstravel.com/node/18.html	(from http://muneshwerstravel.com/flight)
14:38:57	22221/22221	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Nov%202020%2018:38:55%20GMT	http://muneshwerstravel.com/node/17	/home/arthur/websites/MT/muneshwerstravel.com/node/17.html	(from http://muneshwerstravel.com/hotels)
14:38:57	3657/3657	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2007%20Feb%202018%2021:39:24%20GMT	http://muneshwerstravel.com/sites/default/files/js/js_H7q2xORKmR9AN8Qx5spKEIBp7R_wG2apAswJoCUZY7I.js	/home/arthur/websites/MT/muneshwerstravel.com/sites/default/files/js/js_H7q2xORKmR9AN8Qx5spKEIBp7R_wG2apAswJoCUZY7I.js	(from http://muneshwerstravel.com/CONTACT)
